建立者,時間,更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,索引,Page,市場,小數位數,昨量
"CreateQuote","2022/04/11 08:31:49.080169","UpdateQuote","2022/04/11 09:37:15.112302","UD06","道瓊06","093712","382000","093712.382000","34564.00","1","92.00","0.27","34559.00","2","34564.00","22","34569.00","97.00","34817.00","-253.00","34383.00","181.00","434.00","34472.00","34664.00","-95.00","0","2020","20220411","36885.00","32059.00","4211","1","2","2","245"
"CreateQuote","2022/04/11 08:31:49.081170","UpdateQuote","2022/04/11 09:37:16.360253","UN2206","那斯達克2206","093655","075000","093655.075000","14276.00","1","-276.00","-1.90","14275.00","22","14277.00","4","14605.00","53.00","14644.00","-368.00","14276.00","0.00","368.00","14552.00","14333.00","272.00","0","4695","20220411","15570.00","13534.00","4216","2","2","2","579"
"CreateQuote","2022/04/11 08:31:49.081170","UpdateQuote","2022/04/11 09:37:16.360253","TX05","台指05","093648","336000","093648.336000","17171.00","1","-107.00","-0.62","17167.00","16","17170.00","4","17300.00","22.00","17352.00","-181.00","17158.00","13.00","194.00","17278.00","17200.00","100.00","0","1299","20220411","19005.00","15551.00","4171","3","2","2","940"
"CreateQuote","2022/04/11 08:31:49.082170","UpdateQuote","2022/04/11 09:37:16.251903","MTX05","小台05","093717","189000","093717.189000","17171.00","3","-107.00","-0.62","17169.00","8","17171.00","5","17299.00","21.00","17354.00","-183.00","17158.00","13.00","196.00","17278.00","17197.00","102.00","0","7014","20220411","19005.00","15551.00","4178","4","2","2","4363"
"CreateQuote","2022/04/11 08:31:49.078169","UpdateQuote","2022/04/11 09:37:48.895168","TSEA","加權指","000000","000000","000000.000000","17253.73","98","-30.81","-0.18","0.00","0","0.00","0","17273.05","-11.49","17316.35","-62.62","17216.99","36.74","99.36","17284.54","17284.54","-11.49","0","89146","20220411","19012.99","15556.09","30001","-1","0","2","246209"
"CreateQuote","2022/04/11 08:31:49.078169","UpdateQuote","2022/04/11 09:37:50.766572","0050","元大台灣50","000000","000000","000000.000000","133.85","1","-0.70","-0.52","133.80","29","133.85","1","134.15","-0.40","134.45","-0.60","133.70","0.15","0.75","134.55","134.55","-0.40","0","2346","20220411","148.00","121.10","0","-1","0","2","8930"
"CreateQuote","2022/04/11 08:31:49.079169","UpdateQuote","2022/04/11 09:37:50.720604","00632R","元大台灣50反1","000000","000000","000000.000000","5.34","6","0.03","0.56","5.33","19954","5.34","1016","5.33","0.02","5.35","-0.01","5.31","0.03","0.04","5.31","5.31","0.02","0","25665","20220411","5.84","4.78","17","-1","0","2","135556"
"CreateQuote","2022/04/11 08:31:49.079169","UpdateQuote","2022/04/11 09:37:50.989849","TX06","台指06","000000","000000","000000.000000","17138.00","1","-106.00","-0.61","17137.00","1","17141.00","3","17273.00","29.00","17315.00","-177.00","17127.00","11.00","188.00","17244.00","17162.00","111.00","0","168","20220411","18968.00","15520.00","4172","-1","2","2","77"
"CreateQuote","2022/04/11 08:31:49.080169","UpdateQuote","2022/04/11 09:37:51.109939","MTX06","小台06","000000","000000","000000.000000","17139.00","1","-105.00","-0.61","17136.00","15","17140.00","1","17258.00","14.00","17319.00","-180.00","17126.00","13.00","193.00","17244.00","17165.00","93.00","0","896","20220411","18968.00","15520.00","4179","-1","2","2","570"
"CreateQuote","2022/04/11 08:31:49.080169","UpdateQuote","2022/04/11 09:37:50.232879","2330","台積電","093735","184762","093735.184762","566.00","2","-1.00","-0.18","565.00","46","566.00","543","563.00","-4.00","566.00","0.00","562.00","4.00","4.00","567.00","567.00","-4.00","0","6591","20220411","623.00","511.00","29157","0","0","2","27971"
